Principal_Component_1_Original,Principal_Component_2_Original,Principal_Component_1_Random,Principal_Component_2_Random,Principal_Component_1_Stratified,Principal_Component_2_Stratified
2.050433915630854,-1.230655252755461,-1.6771314907080106,-1.4694595959866623,-2.884122081324759,0.03160260055433893
0.2544897625817209,0.3661062070958986,-0.7075732555286858,2.4009849830328682,-3.4477930884976327,0.18787324553277443
2.306948922393608,-0.29786587515426105,2.355512478027509,-0.5254950422612051,-1.2307023223827012,-0.5016695172791813
-0.35037649323657905,1.3259729431365157,-2.8444035731644726,0.6463440882624437,-2.8380486514228935,0.33983765370775904
3.8246032138700823,0.5397799065905534,2.7389492383345737,-0.1537712361477045,-3.116880399129954,0.8139595398705293
-0.9513946138995234,-1.269868106635,-0.4441974325264663,0.7687211468827961,-0.29524337435903136,-0.43263699684526347
3.498805523756626,-0.30737202709976513,-3.2368766893486143,0.3935458315655853,-3.0688981832076165,2.0532808968936704
1.2527231776015915,2.3482255501591283,0.6326162413915993,-0.9520813632328138,-1.9990944899996665,-1.242471338160638
-1.245042486616901,2.9944736197345168,0.9541712997740698,-1.633326375038061,-2.7723160735228967,-1.1115984493084243
-2.4591245973132136,1.8051225229234795,2.991445306229006,-0.3859762188235633,-3.07622240089084,-0.893282624756244
-2.5300983833295403,-0.48469385839676365,0.931587207049032,0.5536915921974218,-2.9356579980830824,-0.7504770312924466
6.360958394583976,0.5665813820466726,2.772932230965875,-0.043231552254022046,-2.315295984610742,-0.43688982214973476
-2.7710086074853644,-0.638492117405261,-2.5301080721482667,-0.7666598760209302,-3.532012592365959,0.6638260866066426
3.1185206848231957,-0.01617534418632522,-1.7750274720654562,0.6640668994900878,-2.2086426275027295,1.1172213877256911
-1.6544513375352374,1.2702252038565633,0.933979018829787,0.469947886178362,-3.8055115710224863,-0.1965207908904252
-2.230387179386294,-0.7937126402407062,6.141906770538214,1.986589928901456,-1.3593339051303326,-1.081270128198855
-1.4106871753728318,0.6314536310751062,-1.3741931991810805,1.2907294395126379,-4.779619822364324,-0.6164233206065085
-2.2901798504271245,-0.5197279826597495,-0.6536427236848046,0.9419830987516442,-2.945632117401191,0.19600505969134954
-0.7527858797081257,-1.5862373576038753,-2.117792810703913,1.6780897937049895,-5.319144216965758,-1.0376082506471407
-2.405156767086831,-0.08030933209015402,2.2436453280788426,-0.4781085297325799,-2.5384511787415738,-0.8624619945475518
4.997934828179744,0.396688635761748,0.6559272504388856,0.8046298745122882,-0.008755028851833876,3.023396021657114
-2.4425641747025835,0.8295858604913978,-2.7377266950224373,0.844751913035259,-1.9251183418977806,1.9958402643054676
