Principal_Component_1_Stratified,Principal_Component_2_Stratified
-0.1680577711151014,-0.21970045813673497
-0.08159886078210327,-0.43944411051840265
-0.3472495040311701,-0.3095822768344801
-0.04493228667760545,-0.31178433797938604
-0.24105985149676223,-0.561734160873156
-0.263748266366143,-0.4254792480258729
-0.4516575109516148,-0.1780747228623817
0.009413651791897808,-0.01490712466678095
-0.5429262211016992,-0.4259701928149111
-0.454336267146673,-0.3144833786783902
-0.03649473200708664,0.07857065731378317
-0.021332828908131304,-0.26841729999491226
-0.42920013767306037,-0.41946355536320407
-0.1910363590360711,-0.22940191284959147
-0.44131422167953616,-0.3871545179836854
-0.514005945835426,-0.37592726506493307
-0.30372310729193,-0.31198403344763603
-0.41319500552385496,-0.5818751946638033
-0.4115259124139163,-0.5061505268720053
-0.5124389728582869,-0.43303023520873396
-0.3684216174088869,-0.4803810036719619
0.053969094694559315,-0.07786215627125014
-0.5410198967422711,-0.590535919014719
-0.208288817542907,-0.30334307672912936
-0.22687466054575398,-0.17500550445620836
-0.50302108972766,-0.3159190033261307
-0.43343414377441486,-0.41689853015498624
0.08349652857759979,-0.17826893892290785
-0.3784818142736,-0.618947996747013
-0.30947590698715394,-0.5248556086739855
-0.5062559777143574,-0.4611002428232944
-0.4039532715989093,-0.5974702546211554
0.11716163614342605,-0.1009552535056048
0.17080109266062957,-0.11441897965324851
-0.1786813978246456,-0.41424465466343646
-0.4774987209876015,-0.18922519266387902
-0.1257076022723835,-0.5748100993401433
-0.2970737934168675,-0.4006346603405135
-0.005001653459916344,-0.5083410084370273
-0.42797686371475824,-0.2672682896735848
-0.18698201908950177,-0.5713650668094341
-0.07553815396668515,-0.2289509094912362
-0.31146170942988916,-0.4270061380080737
-0.08816087534033015,-0.44695159221636477
-0.15354877625478458,-0.46828848359835595
0.048245301006860336,-0.06138926975040449
-0.3663109377133582,-0.3215135403265598
-0.2865916469176669,-0.4942611240903665
-0.6425103446520483,-0.4342611735954595
-0.2751193901743634,-0.4917049079420042
-0.483422418598329,-0.3666696601551384
-0.2206754894470093,-0.569957630357355
-0.4979977352888032,-0.39281502855726386
0.00193272866439113,-0.23249874496799253
-0.29877609689967694,-0.5877905494544132
-0.347125561025788,-0.5057995320142213
-0.37177726145536394,-0.42981794735387524
-0.3624486372011929,-0.5290550874472942
-0.5062527377100259,-0.4670029658376791
-0.14751073016193506,-0.535431272239339
-0.2901386350226235,-0.21829278797575288
-0.4537059637963011,-0.5285904591368092
-0.5165413401527961,-0.4261892527223742
-0.34946085123244564,-0.46237380453591886
-0.21032034286562432,-0.4395401118865874
-0.11405960272511347,-0.48354511765439995
-0.22098721896446785,-0.5767386622699175
-0.023539380925989218,-0.23546108708299593
-0.14866118654324414,-0.3257651867015494
0.028042621449898417,-0.36661286886267197
-0.483620822699036,-0.25863773254468636
-0.6224412802533861,-0.4212298486267027
-0.15993232646234484,-0.3722152195246592
-0.020198533851724185,-0.4619757136161189
0.16227765425486274,-0.5033486067898916
-0.28819669450598456,-0.5269945302494222
-0.41249618791750764,-0.31117793158816703
0.09824791144716478,-0.10679885582523292
0.04499518128098615,-0.057140090656182536
-0.4188914413034202,-0.4524457073807825
-0.13268323108701124,-0.1976920879597313
-0.23200554054854775,-0.5356609375041543
-0.4793717622886792,-0.1324700926799805
-0.21532114977590738,-0.5359522603470028
-0.5608143474909267,-0.4498629411880855
-0.2551539384879629,-0.4811229484587337
-0.06841474938293991,-0.20138965725466879
-0.5721987578560497,-0.24222621976921055
-0.31784986773820784,-0.31501888117572213
-0.053507980598496686,-0.33650592713425276
-0.38354808243786764,-0.5651224169356124
-0.47948654771900207,-0.4592712581246742
-0.25597492944388883,-0.38266098345616384
-0.5948938185187225,-0.4225551605102582
-0.2322382505745853,-0.41847884308804834
-0.20143491816441075,-0.46929258998816203
-0.2267621224242047,-0.3222470361211391
-0.40408480993308327,-0.3374562505126304
-0.29719215530668786,-0.45472756621613797
-0.4559445650634266,-0.6195511637661187
-0.3288719811166883,-0.48134195362707394
-0.2726424473620295,-0.6007086859428362
-0.2890760127485618,-0.2673864628027952
-0.423258240580163,-0.14009088338725634
-0.2795886742561498,-0.5180188272492908
-0.09067042733977364,-0.2021903268619984
-0.44960948614536295,-0.6753080972798746
0.034506046994596654,-0.3279419466915172
-0.2564555615305163,-0.24405511668431415
-0.19813805257992956,-0.047710655385103135
-0.25148113930971006,-0.5319291112633371
-0.19309525880609218,-0.5086234633669778
-0.1940138991782173,-0.5343392026598123
-0.25278224439571795,-0.4618465277248226
-0.17380657753760778,0.012973809862000113
-0.3212959769273167,-0.5189197829654949
-0.36231279757692636,-0.5281730521158945
0.31754771855825326,-0.2838232749622488
0.37191212184538763,-0.10125620075479923
0.12427937790969489,-0.3100421732464482
0.46694865895643245,0.22883497820133933
0.6233694963130548,-0.1830923290202575
0.6904940128108046,-0.13201131694003332
-0.008399435503050877,0.17644953121499707
0.563835919754304,-0.0844701825601841
0.6219073958326189,0.003376035284286132
0.552126093558528,-0.18047941002042206
0.2833060391543649,-0.42337385604174727
0.3060647342836157,0.31528093080891206
0.5860726466900688,-0.025978052237965454
0.2946319833843329,-0.14595326848717133
0.5261743194000005,-0.13588620552656058
0.5392121338761381,-0.05839666650861683
0.5622132242175987,-0.2722117334399174
0.3163474722649602,0.002452642756842343
0.29067305594773046,-0.0941564778951273
0.2889755078798122,-0.10919975790280212
0.002212817499180351,0.27887871350970483
0.5984222957466011,-0.2163817713028435
0.6460165770364742,-0.1338494753384727
0.47812497381737235,-0.19017656467522123
0.3846027459231979,0.15088752615205686
