Principal_Component_1_Random,Principal_Component_2_Random
-0.48844839430143056,-0.2425882205211655
0.5645755621127443,0.05929316549849538
0.07507865002503128,0.5590297236117026
-0.4487742119555239,-0.45085332567002817
1.1296633498249,-0.1302568499045774
-0.21330798266143652,0.191084502884885
-0.7695093361658031,0.13488268679365145
0.155232658963023,0.011424823202951889
0.08972235171693678,-0.030408848505946502
1.1427222113856144,0.26959011681386286
-0.507310388646098,0.014633251459525744
-0.8889299842379987,0.060812672505947137
-0.5131621839252815,-0.07579218882200088
0.8660675218409059,0.41846741922096187
-0.658967596176034,0.2850802957442581
-0.4831474334245347,0.3700236378807698
0.2933165110149516,-0.0009718762643014756
0.5703221479750422,-0.2703435069084495
0.09603641599043279,-0.3106095794098455
1.3546468753846692,0.22371780594195187
-0.7784112180589403,0.18972753901850842
0.5344166497297798,-0.26859273121523797
0.2522455873871576,-0.031146791025511784
0.6322441982492059,-0.2060618904442932
0.6177131065310989,-0.1084694483041523
-0.7230280503406437,0.19416846174977398
-0.48046910869850395,0.5628410627915714
-0.7745237252325936,0.2903812669729817
-0.19312430739179748,-0.368196937871221
-0.2660459349709061,-0.02408408065295194
0.5419930907867105,-0.08484566676019695
-0.821175909876807,0.10865307874891347
0.3452098503536966,-0.007941650849769385
0.2963231868553765,-0.047449369653049356
-0.2856413594948617,0.20032180678410338
-0.2057071638302928,-0.42461521137967473
0.585484333578637,0.0008859755203820712
-0.057180369643422005,0.212157280183217
0.6006818419378546,-0.23146840010224717
-0.11430498060228933,-0.16872970372422483
-0.8407984120307126,0.055825171923069294
-0.1380126439531515,0.40035471331317185
1.2162607112004309,0.2308070215098088
-0.4561042836126453,0.020527136876057818
-0.5901429812449814,-0.23880521460362975
-1.0338822672136108,0.12002816183112015
0.44087295888545486,-0.41973135692552227
-0.8525880074043791,0.03223442495969138
-0.7458758734115846,0.0316104639548169
-0.7802497026151144,0.36301803504961944
0.27228354233230195,-0.15637635138358977
0.9314327522968993,0.22230575596859642
-0.5602748594093073,-0.014913848981583771
-0.3475415281553716,-0.04948091335945027
0.9140291962242387,0.5365286133047836
-0.8274648665691132,0.07911677364138472
-0.20697082018377413,-0.19392679239009658
0.6324131259577987,-0.002227695719745869
0.09049934620748143,-0.5539446493840942
