,Reactions,Volleys,Curve,Skill Moves,ShortPassing,Penalties,Composure,Vision,Aggression,Weight,Height,ShotPower,Balance,International Reputation,Age,Potential,Finishing,Dribbling,Acceleration,SprintSpeed,Agility,Stamina,Value,Wage,Work Rate,Club,Nationality,Preferred Foot,Position,Body Type,Likability,brand_sponsors
Stamina,0.4078089959587185,0.5374940209773464,0.5996124393132107,0.5833265413961943,0.7280446353586059,0.5310946993097322,0.5465905206767268,0.4924023182864606,0.6567807572325619,-0.09603084625145408,-0.08258823074354356,0.628457529110569,0.49853902104078973,0.12062816123386554,0.09597107979446004,0.2056378832402995,0.5208040856211275,0.6949011084457057,0.6242002137849932,0.6366002419503782,-0.10502459496284622,1.0,0.21020341977631812,0.17770177782832222,0.20408651468354166,0.038676327766854014,0.019916029202304224,0.048301003810274294,0.5942127377596942,0.04193367059313829,-0.1465401652908435,0.05678940129154606
Value,0.5160138404451492,0.28831803214676405,0.28719262741061347,0.3146062698474515,0.3246860516332349,0.2389973885053196,0.4402400431909567,0.3546379199066015,0.18521757549846926,0.04936970637542468,0.02142559272446688,0.2806281597214428,0.11503153129412298,0.6490071827026975,0.07502220683279805,0.5762182529816934,0.257044880379246,0.2717421048863623,0.17060899639396732,0.17254797136537897,-0.061964899885237144,0.21020341977631812,1.0,0.858441723233249,0.0353079207241917,0.4399185202089206,0.057574697879647786,0.0006395771404871828,0.029423180864190934,0.06742885737100232,-0.09982163600213177,0.3258675250213432
Wage,0.47355410144791193,0.25766206672118386,0.2597370392623798,0.26281512966765336,0.2943703023067611,0.2225969133439222,0.41047903933529595,0.3131546931723412,0.19500908481266502,0.06584621025388865,0.02979856193398631,0.257914797885401,0.09080650524294756,0.6642885569389484,0.14114503108397392,0.48641317405170725,0.2180924327523689,0.23726674967834838,0.12606452566102902,0.13122212831648178,-0.10159239333938579,0.17770177782832222,0.858441723233249,1.0,0.030338920861670924,0.5817350496020689,0.04514057456193942,0.0005742785848380736,0.01591811804343739,0.0765203200925542,-0.15500810004518584,0.33091811615969846
Work Rate,0.1645386791386655,0.20043602533140867,0.17645631926239327,0.1895799061140338,0.15570578804299717,0.17755777690693228,0.16364164677769916,0.16317945395556244,0.18617054212757495,0.2621895725132676,0.3284901091225746,0.1812862599396828,0.14739480677565897,0.03636128881724542,0.021997684595395906,0.029940115598936203,0.23459292697638814,0.20757618599292746,0.21254931065525337,0.21290737594766249,0.011194307676690055,0.20408651468354166,0.0353079207241917,0.030338920861670924,1.0,0.1095925093265697,0.0845569695459352,0.7092957715957646,0.3770347929135946,0.339019188374183,0.025090960806479327,0.0078166104033622
Club,0.2905935256719057,0.06494430146058058,0.07527979639039704,0.08192459666630329,0.10220759043034743,0.05849405864458914,0.19514014286567558,0.10551453075076252,0.06197713953721027,0.07271282093280933,0.04643901233540843,0.07879062104327035,0.033193266218814584,0.3188146471684548,0.09737120417267903,0.5281118191311217,0.039487147108672134,0.06187647009672411,0.037351633454649646,0.04008817168032891,0.06812988153846941,0.038676327766854014,0.4399185202089206,0.5817350496020689,0.1095925093265697,1.0,0.3217394575560798,0.0,0.0,0.03740408527923388,0.09550266559993033,0.10484108045232982
Nationality,0.12267809357858347,0.04521229435578691,0.04537495376816049,0.053270886573584475,0.050770876740725106,0.04992001240358111,0.09018192667831504,0.0411783814730734,0.029291415984929896,0.06237797374975334,0.027910320401245116,0.058208908307727625,0.02570847288332186,0.030680249133472465,0.04776550878511569,0.1725945963824659,0.03365964150089264,0.04259981119860079,0.03229955174200918,0.03349141506173563,0.028473165538826475,0.019916029202304224,0.057574697879647786,0.04514057456193942,0.0845569695459352,0.3217394575560798,1.0,0.0764397186237167,0.07505993017284944,0.036910098256040795,0.050159724472758876,0.01579537881757965
Preferred Foot,0.11109078819687596,0.018003049785788316,0.04230226716301243,0.03675438296893758,0.05038492202418645,0.028115790582265078,0.06777823248378985,0.03997769672752601,0.029773288070897342,0.23419523998237926,0.3074253698761415,0.031902719044950935,0.06034180170665651,0.020613949769937804,8.686027919082691e-06,0.0028182101717692163,0.015854283172026012,0.039177205214919096,0.060695049706016184,0.062237053467570407,5.012917016135255e-05,0.048301003810274294,0.0006395771404871828,0.0005742785848380736,0.7092957715957646,0.0,0.0764397186237167,1.0,0.7228304727050568,0.7073631550003111,3.95245117975653e-05,0.004479458670925707
Position,0.1413019991490546,0.6306563489455742,0.5720172970515299,0.5760234257415575,0.6708805372192672,0.6216482678602067,0.26063385998369504,0.4837163965749998,0.5312724424126354,0.41245882233374287,0.37671525242528714,0.5954995573780822,0.4841908438227498,0.026391494378240805,0.04694436546442789,0.02665755619178103,0.7540705197841752,0.7886912597693309,0.5841080992186173,0.5664505255501749,0.021352870619476605,0.5942127377596942,0.029423180864190934,0.01591811804343739,0.3770347929135946,0.0,0.07505993017284944,0.7228304727050568,1.0,0.2990049835314752,0.04815937723638693,0.00806367484821241
Body Type,0.11761463674182893,0.021832008531847902,0.024703828168182257,0.03844589865663634,0.047848689298535266,0.02888755480113362,0.06828662644793103,0.0421723241060011,0.03822819286374283,0.30136202199566314,0.3074094488302734,0.030677189085064765,0.06112552508138954,0.04215231342300185,0.042794123924151085,0.012008943766374658,0.0218062662491657,0.03727980196078059,0.06581681562288852,0.0644378758716321,0.021052610197040182,0.04193367059313829,0.06742885737100232,0.0765203200925542,0.339019188374183,0.03740408527923388,0.036910098256040795,0.7073631550003111,0.2990049835314752,1.0,0.041244316329119006,0.01731765452357913
Likability,-0.4502411774329788,-0.1578975644247615,-0.1614149757383826,-0.05633791643287228,-0.16000492795888246,-0.14503671484774472,-0.39317512078903755,-0.1983629659770292,-0.2801541650485059,-0.20371156617185643,-0.04584608918966258,-0.17662874359432854,0.07383529386380443,-0.23194041659899603,-0.9627046699144239,0.2490900344848559,-0.08903831908114888,-0.042057818304194056,0.1095514395502448,0.09898139051739936,0.6692909237891236,-0.1465401652908435,-0.09982163600213177,-0.15500810004518584,0.025090960806479327,0.09550266559993033,0.050159724472758876,3.95245117975653e-05,0.04815937723638693,0.041244316329119006,1.0,-0.1191195240487255
brand_sponsors,0.22574632332268277,0.13528813156478026,0.12896393986821394,0.11400896527993802,0.13490849832601037,0.12276885505302229,0.20416944993283517,0.1605772961658604,0.09017569255391376,0.07257705943899723,0.0462597077476757,0.12604711151145018,0.037107200326005105,0.4871032430255427,0.12352707038917506,0.18204290783245744,0.10415993199388275,0.10560878422328342,0.039525534504300124,0.03582863510360855,-0.086130832124154,0.05678940129154606,0.3258675250213432,0.33091811615969846,0.0078166104033622,0.10484108045232982,0.01579537881757965,0.004479458670925707,0.00806367484821241,0.01731765452357913,-0.1191195240487255,1.0
